iter	Passed	Remaining
0	62	1799
1	62	873
2	62	564
3	63	409
4	63	317
5	63	255
6	64	210
7	64	177
8	64	151
9	65	130
10	65	112
11	65	98
12	66	86
13	66	75
14	66	66
15	67	58
16	67	51
17	67	45
18	68	39
19	68	34
20	68	29
21	69	25
22	69	21
23	69	17
24	70	14
25	70	10
26	70	7
27	70	5
28	71	2
29	71	0
